,案號,酒駕前案紀錄
128,"KLDM,108,基交簡,51,20190121,1",1
129,"KLDM,108,基交簡,52,20190121,1",3
130,"KLDM,108,基交簡,54,20190128,1",4
131,"KLDM,108,基交簡,57,20190128,1",0
132,"KLDM,108,基交簡,59,20190130,1",1
133,"KLDM,108,基交簡,6,20190118,1",1
134,"KLDM,108,基交簡,60,20190131,1",0
135,"KLDM,108,基交簡,7,20190103,1",1
136,"KLDM,108,基交簡,9,20190110,1",1
137,"KSDM,107,交簡,2776,20190103,1",0
138,"KSDM,107,交簡,2803,20190104,1",1
139,"KSDM,107,交簡,2940,20190107,1",0
140,"KSDM,107,交簡,2949,20190107,1",1
141,"KSDM,107,交簡,2995,20190108,1",0
142,"KSDM,107,交簡,3033,20190109,1",0
143,"KSDM,107,交簡,3084,20190130,1",1
144,"KSDM,107,交簡,3602,20190103,1",3
145,"KSDM,107,交簡,3645,20190104,1",0
146,"KSDM,107,交簡,3651,20190102,1",1
147,"KSDM,107,交簡,3652,20190102,1",2
148,"KSDM,107,交簡,3663,20190110,1",1
149,"KSDM,107,交簡,3665,20190110,1",3
150,"KSDM,107,交簡,3675,20190110,1",0
151,"KSDM,107,交簡,3679,20190104,1",2
152,"KSDM,107,交簡,3702,20190115,1",2
153,"KSDM,107,交簡,3703,20190115,1",2
154,"KSDM,107,交簡,3710,20190115,1",0
155,"KSDM,107,交簡,3714,20190115,1",2
156,"KSDM,107,交簡,3715,20190110,1",0
157,"KSDM,107,交簡,3716,20190115,1",0
158,"KSDM,107,交簡,3719,20190110,1",1
159,"KSDM,107,交簡,3730,20190115,1",2
160,"KSDM,107,交簡,3736,20190115,1",2
161,"KSDM,107,交簡,3739,20190104,1",1
162,"KSDM,107,交簡,3742,20190110,1",0
163,"KSDM,107,交簡,3747,20190110,1",0
164,"KSDM,107,交簡,3750,20190115,1",2
165,"KSDM,107,交簡,3755,20190104,1",1
166,"KSDM,107,交簡,3761,20190108,1",1
167,"KSDM,107,交簡,3762,20190107,1",1
168,"KSDM,107,交簡,3763,20190117,1",1
169,"KSDM,107,交簡,3766,20190115,1",1
170,"KSDM,107,交簡,3767,20190115,1",2
171,"KSDM,107,交簡,3770,20190118,1",2
172,"KSDM,107,交簡,3778,20190117,1",2
173,"KSDM,107,交簡,3785,20190116,1",1
174,"KSDM,107,交簡,3786,20190115,1",1
175,"KSDM,107,交簡,3787,20190116,1",1
176,"KSDM,107,交簡,3794,20190117,1",0
177,"KSDM,107,交簡,3795,20190117,1",0
178,"KSDM,107,交簡,3796,20190117,1",1
179,"KSDM,107,交簡,3800,20190117,1",2
180,"KSDM,107,交簡,3803,20190104,1",1
181,"KSDM,107,交簡,3804,20190110,1",2
182,"KSDM,107,交簡,3806,20190122,1",4
183,"KSDM,107,交簡,3807,20190117,1",1
184,"KSDM,107,交簡,3810,20190129,1",2
185,"KSDM,107,交簡,3814,20190108,1",1
186,"KSDM,107,交簡,3816,20190121,1",3
187,"KSDM,107,交簡,3817,20190117,1",1
188,"KSDM,107,交簡,3821,20190117,1",0
189,"KSDM,107,交簡,3822,20190107,1",2
190,"KSDM,107,交簡,3824,20190107,1",0
191,"KSDM,107,交簡,3828,20190117,1",1
192,"KSDM,107,交簡,3830,20190117,1",1
193,"KSDM,107,交簡,3835,20190109,1",1
194,"KSDM,107,交簡,3836,20190117,1",1
195,"KSDM,107,交簡,3841,20190117,1",2
196,"KSDM,107,交簡,3845,20190117,1",0
197,"KSDM,107,交簡,3853,20190114,1",1
198,"KSDM,107,交簡,3857,20190122,1",1
199,"KSDM,107,交簡,3859,20190122,1",1
200,"KSDM,107,交簡,3862,20190116,1",1
201,"KSDM,107,交簡,3863,20190122,1",1
202,"KSDM,107,交簡,3864,20190117,1",0
203,"KSDM,107,交簡,3865,20190122,1",1
204,"KSDM,107,交簡,3867,20190108,1",0
205,"KSDM,107,交簡,3870,20190122,1",1
206,"KSDM,107,交簡,3871,20190114,1",1
207,"KSDM,107,交簡,3872,20190123,1",3
208,"KSDM,107,交簡,3874,20190122,1",0
209,"KSDM,107,交簡,3876,20190121,1",0
210,"KSDM,107,交簡,3879,20190117,1",0
211,"KSDM,107,交簡,3880,20190122,1",1
212,"KSDM,107,交簡,3881,20190103,1",3
213,"KSDM,107,交簡,3886,20190117,1",1
214,"KSDM,107,交簡,3888,20190117,1",1
215,"KSDM,107,交簡,3889,20190122,1",1
216,"KSDM,107,交簡,3890,20190117,1",1
217,"KSDM,107,交簡,3894,20190117,1",1
218,"KSDM,107,交簡,3896,20190109,1",1
219,"KSDM,107,交簡,3897,20190117,1",2
220,"KSDM,107,交簡,3898,20190116,1",1
221,"KSDM,107,交簡,3899,20190116,1",1
222,"KSDM,107,交簡,3902,20190103,1",1
223,"KSDM,107,交簡,3905,20190114,1",0
224,"KSDM,107,交簡,3906,20190117,1",1
225,"KSDM,107,交簡,3907,20190123,1",3
226,"KSDM,107,交簡,3911,20190117,1",1
227,"KSDM,107,交簡,3912,20190116,1",1
228,"KSDM,107,交簡,3913,20190108,1",1
229,"KSDM,107,交簡,3915,20190122,1",1
230,"KSDM,107,交簡,3916,20190116,1",1
231,"KSDM,107,交簡,3917,20190108,1",1
232,"KSDM,107,交簡,3918,20190117,1",2
233,"KSDM,107,交簡,3919,20190123,1",1
234,"KSDM,107,交簡,3921,20190123,1",1
235,"KSDM,107,交簡,3924,20190109,1",3
236,"KSDM,107,交簡,3925,20190117,1",2
237,"KSDM,107,交簡,3927,20190116,1",1
238,"KSDM,108,交簡,1,20190130,1",1
239,"KSDM,108,交簡,102,20190131,1",1
240,"KSDM,108,交簡,11,20190115,1",0
241,"KSDM,108,交簡,110,20190128,1",1
242,"KSDM,108,交簡,111,20190128,1",1
243,"KSDM,108,交簡,114,20190128,1",1
244,"KSDM,108,交簡,115,20190125,1",1
245,"KSDM,108,交簡,12,20190131,1",0
246,"KSDM,108,交簡,123,20190125,1",1
247,"KSDM,108,交簡,124,20190131,1",2
248,"KSDM,108,交簡,132,20190131,1",1
249,"KSDM,108,交簡,136,20190129,1",0
250,"KSDM,108,交簡,137,20190129,1",2
251,"KSDM,108,交簡,14,20190123,1",1
252,"KSDM,108,交簡,141,20190129,1",0
253,"KSDM,108,交簡,143,20190125,1",1
254,"KSDM,108,交簡,146,20190131,1",1
255,"KSDM,108,交簡,15,20190130,1",0
256,"KSDM,108,交簡,151,20190131,1",1
257,"KSDM,108,交簡,152,20190128,1",2
258,"KSDM,108,交簡,157,20190128,1",0
259,"KSDM,108,交簡,161,20190129,1",2
260,"KSDM,108,交簡,166,20190129,1",2
261,"KSDM,108,交簡,173,20190125,1",1
262,"KSDM,108,交簡,185,20190129,1",0
263,"KSDM,108,交簡,186,20190129,1",1
264,"KSDM,108,交簡,19,20190121,1",0
265,"KSDM,108,交簡,193,20190131,1",1
266,"KSDM,108,交簡,197,20190130,1",0
267,"KSDM,108,交簡,2,20190130,1",1
268,"KSDM,108,交簡,20,20190121,1",0
269,"KSDM,108,交簡,208,20190130,1",1
270,"KSDM,108,交簡,219,20190130,1",0
271,"KSDM,108,交簡,221,20190130,1",1
272,"KSDM,108,交簡,223,20190130,1",1
273,"KSDM,108,交簡,23,20190131,1",1
274,"KSDM,108,交簡,241,20190130,1",1
275,"KSDM,108,交簡,244,20190131,1",0
276,"KSDM,108,交簡,273,20190131,1",2
277,"KSDM,108,交簡,29,20190121,1",0
278,"KSDM,108,交簡,31,20190130,1",1
279,"KSDM,108,交簡,32,20190121,1",1
280,"KSDM,108,交簡,37,20190121,1",2
281,"KSDM,108,交簡,38,20190129,1",1
282,"KSDM,108,交簡,4,20190109,1",1
283,"KSDM,108,交簡,40,20190115,1",1
284,"KSDM,108,交簡,41,20190123,1",0
285,"KSDM,108,交簡,42,20190130,1",2
286,"KSDM,108,交簡,48,20190130,1",1
287,"KSDM,108,交簡,5,20190130,1",2
288,"KSDM,108,交簡,51,20190125,1",0
289,"KSDM,108,交簡,53,20190115,1",1
290,"KSDM,108,交簡,56,20190121,1",1
